Backbone,Model,Embed Dim,Eval Mode,Pooling,5-way Acc,5-way F1,5-way AUC,Binary Acc,Binary F1,Binary Sens,Binary Spec,Binary AUC
CineMA,cinema_pretrained,768,logreg,cls,0.6400,0.6399,0.8935,0.8000,0.8864,0.9750,0.1000,0.8700
CineMA,cinema_pretrained,768,logreg,gap,0.6400,0.6392,0.9055,0.8600,0.9114,0.9000,0.7000,0.9350
CineMA,cinema_pretrained,768,ft-frozen,cls,0.6400,0.6338,0.8840,0.8400,0.9024,0.9250,0.5000,0.8650
CineMA,cinema_pretrained,768,ft-frozen,gap,0.6600,0.6527,0.9000,0.8600,0.9114,0.9000,0.7000,0.9250
CineMA,cinema_pretrained,768,ft-full,cls,0.6600,0.6664,0.8982,0.8600,0.9091,0.8750,0.8000,0.8900
CineMA,cinema_pretrained,768,ft-full,gap,0.2800,0.2438,0.6232,0.8600,0.9176,0.9750,0.4000,0.7275
Dino,dinov3_vit7b16,4096,logreg,cls,0.5000,0.4947,0.8570,0.7400,0.8434,0.8750,0.2000,0.7425
Dino,dinov3_vitb16,768,logreg,cls,0.5800,0.5686,0.9020,0.7600,0.8571,0.9000,0.2000,0.8450
Dino,dinov3_vitl16,1024,logreg,cls,0.5200,0.5118,0.8675,0.8200,0.8966,0.9750,0.2000,0.8175
Dino,dinov3_vits16,384,logreg,cls,0.5000,0.4976,0.8275,0.7600,0.8537,0.8750,0.3000,0.7500
Dino,dinov3_vits16,384,logreg,gap,0.4800,0.4760,0.8280,0.7600,0.8500,0.8500,0.4000,0.7375
Dino,dinov3_vit7b16,4096,logreg,gap,0.6200,0.6281,0.8675,0.8600,0.9136,0.9250,0.6000,0.7700
Dino,dinov3_vitb16,768,logreg,gap,0.6200,0.6158,0.9105,0.8000,0.8780,0.9000,0.4000,0.8475
Dino,dinov3_vitl16,1024,logreg,gap,0.5200,0.5100,0.8500,0.7800,0.8764,0.9750,0.0000,0.7700
Dino,dinov3_vits16,384,logreg,gap,0.4800,0.4760,0.8280,0.7600,0.8500,0.8500,0.4000,0.7375
Dino,dinov3_vit7b16,4096,ft-frozen,cls,0.5800,0.5688,0.8148,0.7600,0.8500,0.8500,0.4000,0.5525
Dino,dinov3_vitb16,768,ft-frozen,cls,0.5800,0.5686,0.9090,0.7800,0.8675,0.9000,0.3000,0.8475
Dino,dinov3_vitl16,1024,ft-frozen,cls,0.4600,0.4512,0.8615,0.7800,0.8642,0.8750,0.4000,0.7700
Dino,dinov3_vits16,384,ft-frozen,cls,0.5400,0.5346,0.8420,0.7800,0.8642,0.8750,0.4000,0.7750
Dino,dinov3_vit7b16,4096,ft-frozen,gap,0.5400,0.5359,0.8477,0.7800,0.8675,0.9000,0.3000,0.6987
Dino,dinov3_vitb16,768,ft-frozen,gap,0.6400,0.6321,0.9080,0.8000,0.8810,0.9250,0.3000,0.8450
Dino,dinov3_vitl16,1024,ft-frozen,gap,0.5800,0.5805,0.8540,0.8000,0.8810,0.9250,0.3000,0.7375
Dino,dinov3_vits16,384,ft-frozen,gap,0.4800,0.4735,0.8360,0.7800,0.8642,0.8750,0.4000,0.7425
Dino,dinov3_vitb16,768,ft-full,cls,0.3600,0.3240,0.6890,0.8000,0.8889,1.0000,0.0000,0.6850
Dino,dinov3_vits16,384,ft-full,cls,0.5200,0.5178,0.8125,0.7200,0.8205,0.8000,0.4000,0.7200
Dino,dinov3_vitb16,768,ft-full,gap,0.4400,0.3885,0.7690,0.7800,0.8736,0.9500,0.1000,0.5800
Dino,dinov3_vits16,384,ft-full,gap,0.2600,0.1879,0.6385,0.8000,0.8889,1.0000,0.0000,0.5550
SAM,sam_vit_base,768,logreg,gap,0.5600,0.5566,0.8605,0.8400,0.9048,0.9500,0.4000,0.8675
SAM,sam_vit_huge,1280,logreg,gap,0.5400,0.5299,0.8200,0.8000,0.8810,0.9250,0.3000,0.7825
SAM,sam_vit_large,1024,logreg,gap,0.4800,0.4464,0.8255,0.7800,0.8736,0.9500,0.1000,0.7975
SAM,sam_vit_base,768,ft-frozen,gap,0.5800,0.5831,0.8605,0.8600,0.9157,0.9500,0.5000,0.8500
SAM,sam_vit_huge,1280,ft-frozen,gap,0.5600,0.5457,0.8195,0.8400,0.9070,0.9750,0.3000,0.7850
SAM,sam_vit_large,1024,ft-frozen,gap,0.5400,0.5168,0.8405,0.8000,0.8837,0.9500,0.2000,0.8125
SAM,sam_vit_base,768,ft-full,gap,0.4600,0.4564,0.7580,0.7400,0.8267,0.7750,0.6000,0.7837
